"","date","posTest","negTest","tests","cases","admissions","discharges","currentHosp","ICU","vent","dailyDeaths","percentPos","Avg7Day_Cases","Last7Days_100k","Avg7Day_Tests","Avg7Day_Pos","Avg7Day_Adm","Avg7Day_Hosp","Avg7Day_ICU","Avg7Day_Vent","Avg7Day_Deaths"
"268",2020-11-30,1294,9933,11227,1160,66,58,466,53,30,6,10.3,938,620,12238,8,58,428,48,24,8
"269",2020-12-01,1567,14023,15590,1422,61,55,468,52,31,12,9.1,1008,666,12232,8.4,60,437,49,26,8
"270",2020-12-02,1572,15522,17094,1435,56,52,465,53,30,14,8.4,1044,690,11806,8.8,59,446,50,26,9
"271",2020-12-03,1776,14625,16401,1634,65,77,448,49,31,11,10,1211,800,13143,9.3,61,451,51,27,9
"272",2020-12-04,1656,16510,18166,1520,72,50,463,46,29,11,8.4,1289,852,14199,9.2,64,458,50,28,9
"273",2020-12-05,1200,12613,13813,1066,71,42,488,48,29,12,7.7,1285,849,14293,9.1,65,465,50,29,11
"274",2020-12-06,1127,7849,8976,977,65,49,494,49,25,14,10.9,1316,870,14467,9.3,65,470,50,29,11
"275",2020-12-07,1397,10704,12101,1247,74,57,505,47,25,21,10.3,1329,878,14592,9.3,66,476,49,29,14
"276",2020-12-08,1466,15324,16790,1310,61,58,503,52,29,17,7.8,1313,867,14763,9.1,66,481,49,28,14
"277",2020-12-09,1500,16357,17857,1341,59,63,490,49,31,12,7.5,1299,859,14872,8.9,67,484,49,28,14
"278",2020-12-10,1475,17281,18756,1253,65,59,489,56,30,20,6.7,1245,823,15208,8.5,67,490,50,28,15
"279",2020-12-11,1490,17392,18882,1294,70,82,470,62,33,17,6.9,1213,801,15311,8.3,66,491,52,29,16
"280",2020-12-12,1123,13074,14197,934,66,55,472,55,32,16,6.6,1194,789,15366,8.1,66,489,53,29,17
"281",2020-12-13,673,7159,7832,555,75,41,492,56,30,25,7.1,1133,749,15202,7.6,67,489,54,30,18
"282",2020-12-14,1318,11247,12565,1139,85,63,504,66,32,14,9.1,1118,739,15268,7.4,69,489,57,31,17
"283",2020-12-15,1270,15133,16403,1058,72,57,514,63,32,13,6.5,1082,715,15213,7.2,70,490,58,31,17
"284",2020-12-16,1281,19138,20419,1076,58,73,488,62,34,18,5.3,1044,690,15579,6.9,70,490,60,32,18
"285",2020-12-17,483,8773,9256,432,49,57,472,61,34,15,4.7,927,612,14222,6.6,68,487,61,32,17
"286",2020-12-18,1114,13649,14763,936,57,67,451,61,35,14,6.3,876,579,13634,6.5,66,485,61,33,16
"287",2020-12-19,1317,16376,17693,1083,60,41,461,62,40,18,6.1,897,593,14133,6.4,65,483,62,34,17
"288",2020-12-20,537,6826,7363,438,60,42,471,63,43,14,5.9,880,582,14066,6.3,63,480,63,36,15
"289",2020-12-21,1108,12163,13271,932,75,54,485,57,40,11,7,851,562,14167,6,62,477,61,37,15
"290",2020-12-22,1079,16604,17683,929,54,81,448,57,40,17,5.3,832,550,14350,5.8,59,468,60,38,15
"291",2020-12-23,1092,19917,21009,953,63,65,441,63,41,9,4.5,815,538,14434,5.7,60,461,61,39,14
"292",2020-12-24,1076,17039,18115,892,52,56,431,66,44,15,4.9,880,582,15700,5.7,60,455,61,40,14
"293",2020-12-25,306,3395,3701,244,51,26,443,63,45,17,6.6,782,516,14119,5.8,59,454,62,42,14
"294",2020-12-26,945,10663,11608,814,58,42,454,66,54,10,7,743,491,13250,5.9,59,453,62,44,13
"295",2020-12-27,791,7566,8357,691,45,22,469,67,51,11,8.3,779,515,13392,6.2,57,453,63,45,13
"296",2020-12-28,1499,12164,13663,1288,56,44,476,71,50,14,9.4,830,549,13448,6.6,54,452,65,46,13
"297",2020-12-29,1354,13786,15140,1219,60,58,472,69,53,17,8.1,872,576,13085,7,55,455,66,48,13
"298",2020-12-30,1540,20032,21572,1353,60,56,471,65,49,11,6.3,929,614,13165,7.2,55,459,67,49,14
"299",2020-12-31,1009,13994,15003,877,57,60,454,59,44,19,5.8,927,612,12721,7.4,55,463,66,49,14
"300",2021-01-01,928,10823,11751,807,52,47,450,59,46,14,6.9,1007,665,13871,7.4,55,464,65,50,14
"301",2021-01-02,1027,9835,10862,901,51,33,463,58,42,13,8.3,1019,674,13764,7.6,54,465,64,48,14
"302",2021-01-03,758,8247,9005,651,40,41,453,60,42,17,7.2,1014,670,13857,7.4,54,463,63,47,15
"303",2021-01-04,1263,11846,13109,1128,68,60,449,64,42,18,8.6,991,655,13777,7.3,55,459,62,45,16
"304",2021-01-05,1883,19200,21083,1623,60,58,444,63,41,12,7.7,1049,693,14626,7.3,55,455,61,44,15
"305",2021-01-06,1373,18321,19694,1221,60,61,431,58,39,17,6.2,1030,680,14358,7.2,55,449,60,42,16
"306",2021-01-07,1261,17417,18678,1121,50,56,421,56,37,10,6,1065,703,14883,7.3,54,444,60,41,14
"307",2021-01-08,1422,20465,21887,1242,57,52,420,53,36,12,5.7,1127,745,16331,7.1,55,440,59,40,14
"308",2021-01-09,1284,17323,18607,1085,65,39,440,51,33,14,5.8,1153,762,17438,6.7,57,437,58,39,14
"309",2021-01-10,739,8779,9518,661,45,40,440,54,34,12,6.9,1154,763,17511,6.7,58,435,57,37,14
"310",2021-01-11,1015,13398,14413,893,66,52,445,53,36,21,6.2,1121,741,17697,6.4,58,434,55,37,14
"311",2021-01-12,1118,18332,19450,948,64,79,422,55,37,13,4.9,1024,677,17464,6,58,431,54,36,14
"312",2021-01-13,1032,19951,20983,879,67,57,427,55,37,11,4.2,976,645,17648,5.7,59,431,54,36,13
"313",2021-01-14,1145,20546,21691,996,64,60,426,57,40,10,4.6,958,633,18078,5.5,61,431,54,36,13
"314",2021-01-15,1098,17519,18617,945,62,75,405,55,38,16,5.1,915,605,17611,5.4,62,429,54,36,14
"315",2021-01-16,921,16681,17602,769,57,52,407,57,41,15,4.4,870,575,17468,5.2,61,425,55,38,14
"316",2021-01-17,626,10064,10690,515,47,41,409,55,40,7,4.8,849,561,17635,4.9,61,420,55,38,13
"317",2021-01-18,556,8769,9325,469,60,42,419,54,38,17,5,789,521,16908,4.7,60,416,55,39,13
"318",2021-01-19,951,18619,19570,851,70,62,418,56,38,11,4.3,775,512,16925,4.6,61,416,56,39,12
"319",2021-01-20,969,22609,23578,849,50,70,387,50,32,24,3.6,771,509,17296,4.5,59,410,55,38,14
"320",2021-01-21,1183,24182,25365,1008,55,59,378,50,30,9,4,772,510,17821,4.5,57,403,54,37,14
"321",2021-01-22,873,19821,20694,755,55,59,364,53,32,14,3.6,745,492,18118,4.2,56,397,54,36,14
"322",2021-01-23,910,19073,19983,775,58,33,386,58,33,8,3.9,746,493,18458,4.2,56,394,54,35,13
"323",2021-01-24,405,8969,9374,339,46,46,377,58,36,16,3.6,721,476,18270,4,56,390,54,34,14
"324",2021-01-25,804,13324,14128,692,49,57,364,58,37,13,4.9,753,497,18956,4,55,382,55,34,14
"325",2021-01-26,725,19954,20679,643,50,48,357,55,34,10,3.1,723,478,19114,3.8,52,373,55,33,13
"326",2021-01-27,846,21738,22584,718,50,58,346,57,31,6,3.2,704,465,18972,3.8,52,367,56,33,11
"327",2021-01-28,765,22479,23244,647,34,35,341,53,29,13,2.8,653,431,18669,3.6,49,362,56,33,11
"328",2021-01-29,672,20047,20719,597,42,54,325,55,32,7,2.9,630,416,18673,3.5,47,357,56,33,10
"329",2021-01-30,693,16277,16970,589,40,31,330,50,29,7,3.5,604,399,18243,3.4,44,349,55,33,10
"330",2021-01-31,361,8362,8723,319,36,36,328,45,25,6,3.7,601,397,18150,3.4,43,342,53,31,9
"331",2021-02-01,237,7281,7518,203,34,38,317,43,22,11,2.7,531,351,17205,3.1,41,335,51,29,9
"332",2021-02-02,602,14759,15361,540,47,48,311,47,23,13,3.5,516,341,16446,3.2,40,328,50,27,9
"333",2021-02-03,751,24355,25106,657,48,46,308,46,21,12,2.6,507,335,16806,3.1,40,323,48,26,10
"334",2021-02-04,708,23380,24088,615,36,51,293,47,21,4,2.6,503,332,16926,3.1,40,316,48,25,9
"335",2021-02-05,613,19998,20611,522,25,41,274,50,22,6,2.5,492,325,16911,3,38,309,47,23,8
"336",2021-02-06,414,15151,15565,364,27,28,270,51,21,7,2.3,460,304,16710,2.8,36,300,47,22,8
"337",2021-02-07,240,4712,4952,191,26,23,266,48,22,9,3.9,442,292,16172,2.9,35,291,47,22,9
"338",2021-02-08,387,12906,13293,333,21,30,256,45,22,8,2.5,460,304,16997,2.8,33,283,48,22,8
"339",2021-02-09,565,17824,18389,497,34,37,250,47,23,7,2.7,454,300,17429,2.7,31,274,48,22,8
"340",2021-02-10,551,23596,24147,471,30,43,232,43,21,9,2,428,283,17292,2.6,28,263,47,22,7
"341",2021-02-11,479,20863,21342,408,30,36,222,41,22,10,1.9,398,263,16900,2.5,28,253,46,22,8
"342",2021-02-12,447,20587,21034,376,17,27,210,40,20,5,1.8,377,249,16960,2.4,26,244,45,22,8
"343",2021-02-13,387,14061,14448,328,19,32,193,37,18,7,2.3,372,246,16801,2.4,25,233,43,21,8
"344",2021-02-14,266,6579,6845,233,24,15,202,36,21,2,3.4,378,250,17071,2.4,25,224,41,21,7
"345",2021-02-15,330,10924,11254,300,29,27,201,31,20,2,2.7,373,247,16780,2.4,26,216,39,21,6
"346",2021-02-16,466,19910,20376,397,20,38,180,32,18,7,1.9,359,237,17064,2.3,24,206,37,20,6
"347",2021-02-17,373,17551,17924,320,NA,NA,NA,NA,NA,1,1.8,337,223,16175,2.3,NA,NA,NA,NA,5
